Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Hillerød;28;Fastholdt;1;Urban Landsskabsingeniør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Roskilde;25;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2022 V
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Fredensborg;30;Ikke startet;0;Digital konceptudvikling;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Køge;01-02-2024;Høje Taastrup;30;Fastholdt;1;Multimediedesigner;IT & Ledelse;2023 V
Zealand Sjællands Erhvervsakademi i Holbæk;01-09-2022;Holbæk;20;Gennemført uddannelse;1;Finansøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-09-2023;Frederiksberg;30;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Slagelse;21;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2021;Roskilde;22;Gennemført uddannelse;1;Leisure Management;Merkantil;2021 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Lejre;23;Fastholdt;1;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Albertslund;19;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Næstved;23;Gennemført uddannelse;1;Finansøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Næstved;20;Gennemført uddannelse;1;Finansøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Albertslund;21;Fastholdt;1;Laborant;Teknisk;2022 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Ballerup;25;Frafald;0;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;Roskilde;25;Gennemført uddannelse;1;Datamatiker;IT & Ledelse;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;København;31;Fastholdt;1;International handel og markedsføring;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;Brøndby;30;Frafald;0;Procesteknolog;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2022;Greve;22;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2021 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;25;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Brøndby;28;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Høje Taastrup;24;Frafald;0;Laborant;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Næstved;23;Fastholdt;1;Logistikøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);03-02-2025;Bornholm;27;Frafald;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Slagelse;02-09-2024;Nyborg;35;Fastholdt;1;Laborant;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2021;København;22;Gennemført uddannelse;1;Leisure Management;Merkantil;2021 S
Zealand Sjællands Erhvervsakademi i Køge;03-02-2025;Holbæk;22;Fastholdt;1;Autoteknolog;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Ishøj;20;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Glostrup;20;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Slagelse;01-02-2025;;21;Fastholdt;1;Jordbrug;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;23;Fastholdt;1;Urban Landsskabsingeniør;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2024;Kalundborg;21;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;København;22;Fastholdt;1;Event Management og Økonomi;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Guldborgsund;22;Ikke startet;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Nykøbing F;02-09-2024;Guldborgsund;22;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;Furesø;34;Fastholdt;1;Procesteknolog;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2023;Vallensbæk;20;Frafald;0;Bygningskonstruktør;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;København;21;Ikke startet;0;IT-teknolog;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;København;21;Frafald;0;Datamatiker;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);02-09-2024;København;29;Fastholdt;1;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Køge;19;Frafald;0;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;20;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Hvidovre;21;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2023;Odsherred;24;Fastholdt;1;Datamatiker;IT & Ledelse;2022 V
Zealand Sjællands Erhvervsakademi i Køge;01-09-2022;Hvidovre;28;Gennemført uddannelse;1;Administrationsøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2023;Ringsted;19;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;01-09-2022;Greve;18;Fastholdt;1;Finansbachelor;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Høje Taastrup;18;Fastholdt;1;Økonomi og IT;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;03-02-2025;København;25;Fastholdt;1;Multimediedesigner;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;;20;Fastholdt;1;Leisure Management;Merkantil;2023 V
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-09-2023;Guldborgsund;24;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 S
